pop,indiv,flw_size,poll_trt,frtset
CMK,CMK1C-15.B,SF,X,1
CMK,CMK1C-18.A,SF,X,1
CMK,CMK1C-28.A,SF,X,1
CMK,CMK1C-32.B,SF,X,1
CMK,CMK1C-35.B,SF,X,1
CMS,CMS1C-43.B,SF,X,1
CMS,CMS1C-50.B,SF,X,1
CPR1,CPR1C-2.A,SF,X,1
CPR1,CPR1C-4.A,SF,X,0
CPR1,CPR1C-8.B,SF,X,1
CPR1,CPR1C-10.B,SF,X,1
CPR1,CPR1C-13.A,SF,X,1
CPR1,CPR1C-15.A,SF,X,1
CPR1,CPR1C-15.B,SF,X,1
CRB,CRB1C-3.A,SF,X,1
CRB,CRB1C-8.A,SF,X,1
CRB,CRB1C-13.A,SF,X,1
CRB,CRB1C-18.A,SF,X,1
CSC1,CSC1C-1.B,SF,X,1
CSC1,CSC1C-3.A,SF,X,1
CSC1,CSC1C-4.B,SF,X,1
CSC1,CSC1C-7.A,SF,X,1
CSC1,CSC1C-14.A,SF,X,1
CSC1,CSC1C-21.B,SF,X,1
CSC1,CSC1C-27.A,SF,X,1
CSC1,CSC1C-30.B,SF,X,1
CSN3,CSN3C-2.A,SF,X,1
CSN3,CSN3C-10.A,SF,X,1
CSN3,CSN3C-11.B,SF,X,1
CSN3,CSN3C-12.B,SF,X,1
CSN3,CSN3C-20.A,SF,X,1
CSN3,CSN3C-28.A,SF,X,1
CSN3,CSN3C-41.B,SF,X,1
CSP,CSP1C-10.A,SF,X,1
CSP,CSP1C-17.B,SF,X,1
CSP,CSP1C-18.B,SF,X,1
CSP,CSP1C-19.B,SF,X,0
CSP,CSP1C-20.A,SF,X,1
CSP,CSP1C-11*.A,SF,X,1
CSP,CSP1C-31*.A,SF,X,1
CSR2,CSR21C-4.A,SF,X,0
CSR2,CSR22C-4.B,SF,X,1
CSR2,CSR22C-6.B,SF,X,1
CSU,CSU1C-5.B,SF,X,1
CSU,CSU1C-6.A,SF,X,1
CSU,CSU1C-11.B,SF,X,1
CSU,CSU1C-14.A,SF,X,1
CSU,CSU1C-18.A,SF,X,1
CSU,CSU1C-23.A,SF,X,0
CSU,CSU1C-29.B,SF,X,1
CSU,CSU1C-32.B,SF,X,1
CSU,CSU1C-34.B,SF,X,1
CWR,CWR1C-18.B,SF,X,1
CWR,CWR1C-25.A,SF,X,1
CWR,CWR1C-26.B,SF,X,1
CWR,CWR1C-27.A,SF,X,1
OCB,OCB1C-6.B,SF,X,1
OCB,OCB1C-8.B,SF,X,1
OCB,OCB1C-11.B,SF,X,0
OCB,OCB1C-13.A,SF,X,1
OCB,OCB1C-13.B,SF,X,1
OCB,OCB1C-19.A,SF,X,1
OCB,OCB1C-22.B,SF,X,0
OCB,OCB1C-28.B,SF,X,1
OCB,OCB1C-31.B,SF,X,1
OCB,OCB1C-46.A,SF,X,1
OCB,OCB1C-47.A,SF,X,1
OCB,OCB1C-50.A,SF,X,1
ONO,ONO1C-16.A,SF,X,1
OPR,OPR1C-4.B,SF,X,0
OPR,OPR1C-12.A,SF,X,1
OPR,OPR1C-13.A,SF,X,1
